ID	ステータス	シリーズ	資料タイプ	候補タイトル	一次資料URL	一次資料到達状態	現代との接続仮説	記事化タイトル案	面白さ	現代接続	一次資料	検証難度	収益化	総合優先度	未確認ポイント	次アクション	メモ	専門家に突っ込まれそうな点	正確な言い換え
PH-010	Source Not Confirmed	医薬特許	特許	シスプラチン（白金系抗がん剤）特許	https://patents.google.com/patent/US4169726	Source Not Confirmed	白金化合物によるDNA架橋が現代の抗がん剤療法・精巣がん治癒率向上の前史として読める	Rosenbergが偶然発見したシスプラチン──白金電極から生まれた抗がん剤の「逆説的な毒性利用」	4	5	3	4	4	12	US4169726の正確な内容・Michigan State UniversityとNCIの関係・精巣がん5年生存率5%→95%への貢献	URL確認後にClaim 1確認	Michigan State University、Barnett Rosenberg。電気実験中の偶然の発見から開発。1978年FDA承認	シスプラチンの副作用（腎毒性・神経毒性）と第二世代白金製剤（カルボプラチン）との関係を明記	白金-DNA架橋型抗増殖の前史。現代の免疫チェックポイント阻害薬とは作用機序が根本的に異なる
FH-007	Source Not Confirmed	食品・健康特許	特許	マーガリン特許（Mège-Mouriès）	https://patents.google.com/patent/US119428	Source Not Confirmed	動物脂を人工的にバター代替に変える技術が現代の植物性バター・代替乳製品・食品加工の前史として読める	Mège-Mourièsが1869年に特許にしたマーガリン──US119428が「安価な食用脂を大量供給する」という問いを立てた	4	4	3	4	3	10	US119428の正確な内容・ナポレオン3世懸賞の経緯・牛脂から植物油マーガリンへの移行史	URL確認後にClaim 1確認	Hippolyte Mège-Mouriès（フランス）。1869年仏国特許→1871年米国特許（推定US119428）	トランス脂肪酸問題（水素添加マーガリン）は1869年当時の設計とは別の問題として明記する	動物脂乳化型バター代替の前史。現代の植物性代替バターは素材・製法が根本的に異なる
FH-008	Source Not Confirmed	食品・健康特許	特許	サッカリン（合成甘味料）特許	https://patents.google.com/patent/US284081	Source Not Confirmed	砂糖の数百倍甘い合成化合物の発見が現代の人工甘味料・カロリーゼロ飲料・糖尿病患者向け食品の前史として読める	Fahlbergが1886年に特許にしたサッカリン──砂糖研究中の偶然の発見が100年以上の甘味料論争を生んだ	4	4	3	4	3	10	US284081の正確な内容・RemsenとFahlbergの発明者争い・FDA1977年禁止→2000年禁止解除の経緯	URL確認後にClaim 1確認	Constantine Fahlberg（Johns Hopkins University研究員）。Ira Remsen教授の研究室で偶然発見	サッカリンの発がんリスクは動物実験の結果であり、ヒトへの外挿には注意が必要	スルホアミド型合成甘味料の前史。現代の甘味料（アセスルファムK・スクラロース）とは化学構造が異なる
FH-009	Source Not Confirmed	食品・健康特許	特許	Flavr Savr GMOトマト特許（Calgene）	https://patents.google.com/patent/US4801540	Source Not Confirmed	アンチセンス遺伝子操作で腐敗を遅らせたGMO食品が現代のGMO作物・ゲノム編集食品の前史として読める	Calgeneが1988年頃に特許にした遺伝子組み換えトマト──世界初のFDA承認GMO食品の技術的基盤	5	5	3	4	4	13	正確な特許番号・Calgene→Monsanto（1997年）への売却・FDA承認プロセスの一次資料	URL確認後にClaim 1確認	Calgene Inc.（後にMonsanto/現BayerCropScience）、1987-1988年頃出願	Flavr Savrは商業的に失敗した。技術的成功と市場的失敗の分離が重要	アンチセンスRNA発現によるポリガラクツロナーゼ阻害の前史。現代のCRISPR食品編集とは技術が根本的に異なる
FH-010	Source Not Confirmed	食品・健康特許	特許	凍結乾燥（フリーズドライ）食品保存特許	https://patents.google.com/patent/US1986039	Source Not Confirmed	低温真空下での昇華による食品保存が現代のインスタント食品・宇宙食・医薬品凍結乾燥製剤の前史として読める	1930年代に特許化されたフリーズドライ技術──食品の水分をゼロにして長期保存する問いの初期実装	4	4	4	3	3	12	US1986039の発明者・出願年・第二次大戦での血漿保存利用との関係・NASA宇宙食採用	URL確認後にClaim 1確認	複数発明者。1920-1930年代に複数の特許が出た。米国での商業化は1950年代から	凍結乾燥は食品だけでなく医薬品（バイオ製剤）にも必須の技術として発展	昇華による食品水分除去の前史。現代のIQF（個別急速凍結）とは技術的アプローチが異なる
FH-011	Source Not Confirmed	食品・健康特許	特許	ラウンドアップ耐性GMO作物特許（Monsanto）	https://patents.google.com/patent/US4535060	Source Not Confirmed	除草剤耐性遺伝子の農作物への挿入が現代のGMO農業・食料安全保障・バイオテクノロジー企業の問題意識と重なる	Monsantoが1980年代に特許にしたGM大豆──「農薬に強い作物を作る」という問いの最初期例	4	5	3	4	4	12	US4535060の正確な内容・Roundup Ready大豆（1996年承認）・種子の知的財産問題・モンサント判例	URL確認後にClaim 1確認	Monsanto Company（現BayerCropScience）。1986年頃出願	「GMO=危険」「GMO=安全」の二項対立を避ける。規制状況・科学的コンセンサスを正確に記述	EPSPS酵素変異体を利用した除草剤耐性の前史。現代のCRISPRゲノム編集農作物とは技術が根本的に異なる
FH-012	Source Not Confirmed	食品・健康特許	特許	高果糖コーンシロップ（HFCS）製造特許	https://patents.google.com/patent/US3379608	Source Not Confirmed	酵素法によるグルコース→フルクトース異性化が現代の飲料甘味料・肥満議論・食品産業の前史として読める	1960年代に特許化されたHFCS製造法──安価な大量甘味料が食品産業を変えた酵素技術	3	4	3	4	3	9	正確な特許番号・Clinton Corn Processing社との関係・日本（林善太郎グループ）の酵素研究	URL確認後にClaim 1確認	Clinton Corn Processing・Marshall & Kooi研究（1957年）等。複数出願	HFCS=肥満原因の単純化は科学的に不正確。砂糖同等説とHFCS悪玉論の間の科学論争を正確に記述	固定化酵素によるグルコース-フルクトース異性化の前史。現代のHFCS生産は酵素固定化技術で大規模化
CS-005	Source Not Confirmed	化粧品特許	特許	アボベンゾン（Parsol 1789）日焼け止め特許	https://patents.google.com/patent/US3839566	Source Not Confirmed	UVA吸収有機化合物が現代のブロードスペクトラム日焼け止め・光老化防止化粧品の前史として読める	Givaudanが1973年に特許にしたアボベンゾン──「UVAを化学的に吸収する」という日焼け止め設計の転換点	4	4	4	4	4	12	US3839566の正確な内容・FDA UVA規制（2012年）との関係・Helioplex等の安定化技術	URL確認後にClaim 1確認	Givaudan（スイス）、1973年特許（Parsol 1789）。米国ではParsol 1789が一般名	アボベンゾンは不安定でUVA吸収後に分解する問題がある。現代製品は安定化技術が必須	UVA吸収β-ジケトン系有機化合物の前史。現代のUVA/UVB複合フィルター製品とは成分組成が異なる
CS-006	Source Not Confirmed	化粧品特許	特許	グリコール酸AHAピーリング特許（Van Scott & Yu）	https://patents.google.com/patent/US4105782	Source Not Confirmed	α-ヒドロキシ酸による角質層の結合解離が現代のケミカルピール・スキンケア（乳酸・クエン酸）の前史として読める	Van Scott & Yuが1974年に特許にしたAHA──「天然有機酸で肌の角質をコントロールする」という問いがスキンケア科学を変えた	4	4	4	3	4	13	US4105782の正確な内容・酒さへの適用可否（高濃度は禁忌）・AHAとBHA（サリチル酸）の機序の違い	URL確認後にClaim 1確認	Eugene J. Van Scott（Temple University）/Ruey J. Yu。Neostrata等でライセンス	高濃度AHAは酒さ・過敏肌に刺激が強い。AHA回避が必要な肌質についての注意事項	α-ヒドロキシ酸によるターンオーバー促進の前史。現代のLHAやPHAは刺激を軽減した後続成分
CS-007	Source Not Confirmed	化粧品特許	特許	ナイアシンアミド（ビタミンB3）美白特許（P&G）	https://patents.google.com/patent/US5851538	Source Not Confirmed	ナイアシンアミドによるメラニン転移抑制が現代の美白成分・バリア機能改善スキンケアの前史として読める	P&Gが1990年代に特許にしたナイアシンアミド美白メカニズム──「ビタミンで色素を抑制する」という問いを記述した	4	4	4	3	4	13	US5851538の正確な内容・ナイアシン酸（紅潮）とナイアシンアミドの違い・現代の配合濃度（2-5%）の根拠	URL確認後にClaim 1確認	Procter & Gamble、1998年頃特許（詳細要確認）	ナイアシンアミド2-5%は敏感肌にも比較的安全。酒さ肌にも適用可能な成分として文脈を持つ	メラノソーム転移阻害による色素沈着抑制の前史。現代製品での使用量（2-10%）は用途によって異なる
CS-008	Source Not Confirmed	化粧品特許	特許	コウジ酸（麹酸）美白特許（味の素）	https://patents.google.com/patent/US4767628	Source Not Confirmed	コウジ酸によるチロシナーゼ阻害が現代のアジア系美白スキンケア・医薬部外品成分の前史として読める	味の素が1980年代に特許にしたコウジ酸美白メカニズム──発酵副産物から生まれた日本発の美白成分	4	4	3	3	4	12	US4767628の正確な内容・日本での医薬部外品承認・韓国での人気・コウジ酸の変異原性懸念	URL確認後にClaim 1確認	Ajinomoto Co., Inc.（味の素）。1983年頃発見・特許取得	コウジ酸はある動物実験で変異原性が指摘されており、現在の安全性評価を正確に記述する必要あり	チロシナーゼ阻害による美白の前史。現代の美白成分（ビタミンC誘導体・トラネキサム酸）は別機序
